MAPID,MOBID,Verified,NumberOfMobs
map_snail_hunting_ground_i,mob_snail,FALSE,
map_snail_hunting_ground_ii,mob_snail,FALSE,
map_snail_hunting_ground_ii,mob_blue_snail,FALSE,
map_snail_hunting_ground_iii,mob_snail,FALSE,
map_snail_hunting_ground_iii,mob_blue_snail,FALSE,
map_a_split_road,mob_snail,FALSE,
map_a_split_road,mob_blue_snail,FALSE,
map_a_split_road,mob_shroom,FALSE,
map_the_field_west_of_amherst,mob_blue_snail,FALSE,
map_the_field_west_of_amherst,mob_shroom,FALSE,
map_the_field_west_of_amherst,mob_snail,FALSE,
map_the_field_west_of_amherst,mob_stump,FALSE,
map_snail_garden,mob_blue_snail,FALSE,
map_snail_garden,mob_snail,FALSE,
map_snail_garden,mob_red_snail,FALSE,
map_maple_island__mushroom_garden,mob_shroom,FALSE,
map_maple_island__mushroom_garden,mob_snail,FALSE,
map_snail_field_of_flowers,mob_red_snail,FALSE,
map_snail_field_of_flowers,mob_blue_snail,FALSE,
map_snail_field_of_flowers,mob_snail,FALSE,
map_the_field_east_of_amherst,mob_stump,FALSE,
map_the_field_east_of_amherst,mob_red_snail,FALSE,
map_the_field_east_of_amherst,mob_slime,FALSE,
map_the_field_east_of_amherst,mob_pig,FALSE,
map_tomato_field,mob_red_snail,FALSE,
map_tomato_field,mob_blue_snail,FALSE,
map_tomato_field,mob_snail,FALSE,
map_hunting_ground_middle_of_the_forest_i,mob_slime,FALSE,
map_hunting_ground_middle_of_the_forest_i,mob_red_snail,FALSE,
map_hunting_ground_middle_of_the_forest_i,mob_blue_snail,FALSE,
map_hunting_ground_middle_of_the_forest_ii,mob_pig,FALSE,
map_hunting_ground_middle_of_the_forest_ii,mob_red_snail,FALSE,
map_hunting_ground_middle_of_the_forest_ii,mob_shroom,FALSE,
map_hunting_ground_middle_of_the_forest_ii,mob_blue_snail,FALSE,
map_the_field_west_of_southperry,mob_red_snail,FALSE,
map_the_field_west_of_southperry,mob_stump,FALSE,
map_the_field_west_of_southperry,mob_orange_mushroom,FALSE,
map_the_field_west_of_southperry,mob_blue_snail,FALSE,
map_in_a_small_forest,mob_orange_mushroom,FALSE,
map_in_a_small_forest,mob_blue_snail,FALSE,
map_in_a_small_forest,mob_red_snail,FALSE,
map_in_a_small_forest,mob_shroom,FALSE,
map_in_a_small_forest,mob_stump,FALSE,
map_dangerous_forest,mob_orange_mushroom,FALSE,
map_dangerous_forest,mob_stump,FALSE,
map_dangerous_forest,mob_red_snail,FALSE,
map_dangerous_forest,mob_blue_snail,FALSE,
map_dangerous_forest,mob_snail,FALSE,
map_right_around_lith_harbor,mob_blue_snail,TRUE,
map_right_around_lith_harbor,mob_red_snail,TRUE,
map_right_around_lith_harbor,mob_slime,TRUE,
map_thicket_around_the_beach_i,mob_snail,TRUE,
map_thicket_around_the_beach_i,mob_blue_snail,TRUE,
map_thicket_around_the_beach_i,mob_red_snail,TRUE,
map_thicket_around_the_beach_i,mob_slime,TRUE,
map_thicket_around_the_beach_i,mob_stump,TRUE,
map_thicket_around_the_beach_ii,mob_slime,FALSE,
map_thicket_around_the_beach_ii,mob_snail,FALSE,
map_thicket_around_the_beach_ii,mob_pig,FALSE,
map_thicket_around_the_beach_ii,mob_ribbon_pig,FALSE,
map_thicket_around_the_beach_iii,mob_snail,FALSE,
map_thicket_around_the_beach_iii,mob_slime,FALSE,
map_thicket_around_the_beach_iii,mob_stump,FALSE,
map_3_way_road_split,mob_blue_snail,TRUE,
map_3_way_road_split,mob_red_snail,TRUE,
map_3_way_road_split,mob_slime,TRUE,
map_3_way_road_split,mob_orange_mushroom,TRUE,
map_3_way_road_split,mob_pig,TRUE,
map_the_pig_beach,mob_blue_snail,TRUE,
